都道府県,県庁所在地,北海道,青森県,岩手県,秋田県,宮城県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,山梨県,長野県,新潟県,富山県,石川県,福井県,静岡県,愛知県,岐阜県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,香川県,愛媛県,徳島県,高知県,福岡県,佐賀県,長崎県,大分県,熊本県,宮崎県,鹿児島県,沖縄県
京都府,京都市,1460,1025,995,830,785,720,705,570,550,465,480,505,455,445,385,405,560,325,260,190,290,130,130,105,17,0,53,76,47,125,220,320,220,370,495,240,370,195,340,650,700,790,695,750,930,920,1710
大阪府,大阪市,1500,1060,1035,870,825,755,745,610,590,505,520,545,495,480,420,440,600,365,300,225,325,170,170,140,65,53,0,37,31,80,195,290,185,340,465,195,325,150,295,620,670,760,670,720,900,890,1680
兵庫県,神戸市,1530,1090,1065,895,855,785,775,640,615,535,545,570,525,510,450,470,630,390,330,255,355,200,200,170,83,76,37,0,66,100,175,275,160,315,440,160,295,115,260,595,645,735,645,695,875,865,1655
奈良県,奈良市,1495,1055,1000,865,820,750,740,575,580,500,485,510,460,445,390,410,590,360,295,220,290,135,165,89,55,47,31,66,0,110,245,325,215,375,500,225,355,180,325,650,705,795,715,750,935,925,1715
和歌山県,和歌山市,1570,1130,1105,940,930,825,815,680,655,575,590,615,565,550,490,510,670,435,370,295,390,235,240,185,130,125,80,100,110,0,270,365,260,415,525,260,390,215,360,690,745,835,725,790,960,950,1740
鳥取県,鳥取市,1585,1145,1115,955,945,840,865,785,760,680,690,715,665,655,595,615,685,445,385,310,500,345,345,315,230,220,195,175,245,270,0,125,130,295,400,225,340,260,315,550,605,695,600,655,835,825,1615
島根県,松江市,1735,1300,1270,1105,1095,995,1015,880,855,775,790,810,765,750,690,710,835,600,535,465,595,440,440,410,325,320,290,275,325,365,125,0,185,180,285,240,255,305,320,435,490,580,485,540,720,710,1500
岡山県,岡山市,1640,1200,1170,1010,1000,895,920,775,750,670,680,705,660,645,585,605,740,500,440,365,490,335,335,305,220,220,185,160,215,260,130,185,0,170,295,78,190,145,165,450,500,590,495,550,730,720,1510
広島県,広島市,1795,1355,1325,1165,1155,1050,1075,930,905,825,840,860,815,800,740,760,895,655,595,520,645,490,490,460,375,370,340,315,375,415,295,180,170,0,130,210,190,275,295,285,335,425,335,385,565,555,1345
山口県,山口市,1930,1495,1465,1300,1290,1190,1210,1055,1050,970,965,1010,960,945,885,900,1035,795,730,660,790,635,615,585,500,495,465,440,500,525,400,285,295,130,0,340,320,400,420,160,215,305,210,265,445,435,1225
香川県,高松市,1690,1245,1225,1050,1050,945,970,800,775,695,710,730,685,670,610,630,785,545,480,415,515,360,360,330,245,240,195,160,225,260,225,240,78,210,340,0,160,78,130,490,545,630,540,590,770,765,1555
愛媛県,松山市,1820,1385,1355,1185,1180,1070,1100,930,910,825,840,865,815,805,745,760,915,675,615,545,645,490,490,460,375,370,325,295,355,390,340,255,190,190,320,160,0,195,155,470,525,615,520,575,755,745,1535
徳島県,徳島市,1645,1210,1180,1005,1005,900,925,755,730,650,665,685,640,625,565,585,735,500,435,370,470,315,315,285,200,195,150,115,180,215,260,305,145,275,400,78,195,0,165,560,615,705,610,665,845,835,1625
高知県,高知市,1790,1350,1320,1150,1150,1035,1070,900,875,795,805,830,780,770,710,730,880,645,580,515,615,460,460,430,345,340,295,260,325,360,315,320,165,295,420,130,155,165,0,575,625,720,625,675,855,845,1635
福岡県,福岡市,2085,1645,1620,1455,1445,1340,1365,1210,1185,1105,1120,1140,1095,1080,1020,1040,1185,935,875,800,925,770,770,740,655,650,620,595,650,690,550,435,450,285,160,490,470,560,575,0,66,155,160,115,295,290,1075
佐賀県,佐賀市,2135,1700,1670,1505,1495,1395,1415,1260,1240,1155,1170,1195,1145,1130,1070,1090,1240,990,925,850,975,820,820,790,705,700,670,645,705,745,605,490,500,335,215,545,525,615,625,66,0,110,170,84,265,255,1045
長崎県,長崎市,2225,1790,1760,1595,1585,1485,1505,1350,1325,1245,1260,1285,1235,1220,1160,1180,1330,1080,1015,940,1065,910,910,880,795,790,760,735,795,835,695,580,590,425,305,630,615,705,720,155,110,0,260,215,395,385,1175
大分県,大分市,2135,1695,1665,1505,1495,1390,1415,1260,1235,1150,1165,1190,1140,1130,1070,1090,1235,985,920,850,975,815,815,790,705,695,670,645,715,725,600,485,495,335,210,540,520,610,625,160,170,260,0,130,205,355,1145
熊本県,熊本市,2185,1750,1720,1555,1545,1445,1465,1310,1285,1205,1220,1245,1195,1180,1120,1140,1290,1040,975,900,1025,870,870,840,755,750,720,695,750,790,655,540,550,385,265,590,575,665,675,115,84,215,130,0,195,185,975
宮崎県,宮崎市,2365,1930,1900,1735,1725,1625,1645,1490,1465,1385,1400,1425,1375,1360,1295,1320,1470,1220,1155,1080,1205,1050,1050,1020,935,930,900,875,935,960,835,720,730,565,445,770,755,845,855,295,265,395,205,195,0,135,955
鹿児島県,鹿児島市,2355,1920,1890,1725,1715,1615,1640,1480,1460,1375,1390,1415,1365,1355,1280,1310,1460,1210,1145,1070,1195,1040,1040,1010,925,920,890,865,925,950,825,710,720,555,435,765,745,835,845,290,255,385,355,185,135,0,800
沖縄県,那覇市,3145,2710,2680,2515,2505,2405,2425,2270,2285,2165,2180,2205,2155,2140,2075,2100,2250,2010,1945,1875,1985,1830,1830,1800,1715,1710,1680,1655,1715,1740,1615,1500,1510,1345,1225,1555,1535,1625,1635,1075,1045,1175,1145,975,955,800,0
